sector,vab_total_miles,pct_participacion
ECONOMÍA TOTAL,632764996420.0,49.96
COMERCIO,100247659910.0,7.92
ACTIVIDADES PROFESIONALES E INMOBILIARIAS,91883727340.0,7.26
MANUFACTURA,87912681280.0,6.94
"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",53697431070.0,4.24
EXPLOTACIÓN DE MINAS Y CANTERAS,53410463160.0,4.22
ADMINISTRACIÓN PÚBLICA,49911660080.0,3.94
"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",47277729120.0,3.73
ENSEÑANZA,32985135730.0,2.6
CONSTRUCCIÓN,29298936690.0,2.31
ACTIVIDADES FINANCIERAS,27818131350.0,2.2
SALUD,26640372630.0,2.1
SUMINISTRO DE ELECTRICIDAD Y DE AGUA,12140904620.0,0.96
OTROS SERVICIOS,11764043220.0,0.93
ALOJAMIENTO Y SERVICIOS DE COMIDA,8669673730.0,0.68
