provincia,total_estudiantes,total_bachilleres,total_companias,capital_total_usd
GUAYAS,1094389,68219,81047,13145077176.33
PICHINCHA,725310,51626,64836,13743798681.57
AZUAY,200018,12610,11389,1917284249.47
MANABI,406559,25347,9432,1355813538.73
EL ORO,175051,10981,7193,420877131.85
TUNGURAHUA,135278,9803,3868,469752709.6
LOS RIOS,233693,13656,3649,239604865.29
SANTO DOMINGO DE LOS TSACHILAS,138586,8926,3068,133985090.8
LOJA,117041,7937,2925,234219274.84
IMBABURA,120686,8871,2721,219721551.7
SANTA ELENA,107021,6074,2547,126907099.88
COTOPAXI,119595,8697,2394,235023175.83
CHIMBORAZO,117599,8424,2364,291785374.3
ESMERALDAS,172226,8915,1828,113132980.4
SUCUMBIOS,62860,3846,1711,20794344.6
ORELLANA,58639,3271,1617,79045874.0
GALAPAGOS,7097,444,1513,296414418.72
ZAMORA CHINCHIPE,32908,2076,1383,660882716.1
MORONA SANTIAGO,66390,2731,1196,261508893.4
CAÑAR,63677,3464,1158,164433080.0
NAPO,41261,2426,761,15890308.0
PASTAZA,35799,2041,718,4764252.2
CARCHI,40075,2580,653,8443164.0
BOLIVAR,50380,3730,543,2427133.32
