provincia,vab_total_miles,sectores_activos,total_companias,capital_total_usd,total_estudiantes
GUAYAS,379897002540.0,15,81047,13145077176.33,1094389
PICHINCHA,333901386560.0,15,64836,13743798681.57,725310
AZUAY,66459542200.0,15,11389,1917284249.47,200018
ORELLANA,64887533060.0,15,1617,79045874.0,58639
MANABI,61093700420.0,15,9432,1355813538.73,406559
EL ORO,50045809860.0,15,7193,420877131.85,175051
LOS RIOS,40299504340.0,15,3649,239604865.29,233693
SUCUMBIOS,36244071380.0,15,1711,20794344.6,62860
TUNGURAHUA,30029855080.0,15,3868,469752709.6,135278
ESMERALDAS,24902679610.0,15,1828,113132980.4,172226
COTOPAXI,23990013300.0,15,2394,235023175.83,119595
SANTO DOMINGO DE LOS TSACHILAS,21722790280.0,15,3068,133985090.8,138586
LOJA,19159256820.0,15,2925,234219274.84,117041
CHIMBORAZO,18140371260.0,15,2364,291785374.3,117599
IMBABURA,17945975640.0,15,2721,219721551.7,120686
