provincia,vab_total,registros
9.0,379897002540.0,2250
17.0,333901386560.0,720
1.0,66459542200.0,1575
22.0,64887533060.0,360
13.0,61093700420.0,1980
7.0,50045809860.0,1470
12.0,40299504340.0,1170
21.0,36244071380.0,630
18.0,30029855080.0,810
8.0,24902679610.0,640
5.0,23990013300.0,735
23.0,21722790280.0,180
11.0,19159256820.0,1440
6.0,18140371260.0,1050
10.0,17945975640.0,540
24.0,14935760440.0,270
19.0,12039741960.0,810
3.0,11072517560.0,735
16.0,10376655680.0,360
4.0,8147328120.0,630
2.0,6439530980.0,735
15.0,5804489820.0,450
14.0,5548383380.0,1080
20.0,3339646060.0,270
