provincia,vab_total,total_empresas,total_estudiantes
9.0,379897002540.0,0,0
17.0,333901386560.0,0,0
1.0,66459542200.0,0,0
22.0,64887533060.0,0,0
13.0,61093700420.0,0,0
7.0,50045809860.0,0,0
12.0,40299504340.0,0,0
21.0,36244071380.0,0,0
18.0,30029855080.0,0,0
8.0,24902679610.0,0,0
5.0,23990013300.0,0,0
23.0,21722790280.0,0,0
11.0,19159256820.0,0,0
6.0,18140371260.0,0,0
10.0,17945975640.0,0,0
24.0,14935760440.0,0,0
19.0,12039741960.0,0,0
3.0,11072517560.0,0,0
16.0,10376655680.0,0,0
4.0,8147328120.0,0,0
2.0,6439530980.0,0,0
15.0,5804489820.0,0,0
14.0,5548383380.0,0,0
20.0,3339646060.0,0,0
