ano,pib_2018_100,var_anual_pib,pib_per_capita_nominal,unnamed_4,unnamed_5,unnamed_6,unnamed_7,pib_2018_1001
2000,52.15803995407,,1404.6,,,,,52158.03995407
2001,54.35194923581,0.0420627248200249,1823.7,,,,,54351.949235809996
2002,57.0304656665354,0.049280963578777,2097.1,,,,,57030.4656665354
2003,58.6755100439129,0.0288450104369864,2358.0,,,,,58675.5100439129
2004,62.6844538267914,0.0683239699131424,2633.0,,,,,62684.453826791396
2005,66.068550034407,0.0539862119077636,2960.7,,,,,66068.550034407
2006,68.9366738678391,0.0434113331068784,3298.4,,,,,68936.6738678391
2007,70.2481450951001,0.0190242893031838,3533.7,,,,,70248.1450951001
2008,74.8598810834904,0.0656492208035824,4257.9,,,,,74859.8810834904
2009,75.6766114547341,0.0109101211412934,4111.5,,,,,75676.6114547341
2010,78.7257261435126,0.040291374444035,4578.9,,,,,78725.7261435126
2011,85.4028305599708,0.0848147707686586,5210.0,,,,,85402.8305599708
2012,90.3418572599477,0.0578321194694902,5682.1,,,,,90341.8572599477
2013,96.8566218345491,0.0721123604516563,6144.1,,,,,96856.6218345491
2014,100.949846111799,0.0422606549735141,6422.1,,,,,100949.84611179901
2015,101.070674666627,0.00119691668171629,5975.1,,,,,101070.674666627
2016,100.375354004134,-0.00687954903622123,5907.9,,,,,100375.354004134
2017,106.368164115476,0.0597039997596955,6221.0,,,,,106368.164115476
2018,107.478961000081,0.010442944971754,6293.5,,,,,107478.961000081
2019,107.656736000003,0.00165404464528418,6199.0,,,,,107656.73600000299
2020,97.7037671816773,-0.0924509620868107,5469.8,,,,,97703.7671816773
2021,106.909311286729,0.0942189269727396,6084.7,,,,,106909.31128672899
2022,113.183202468606,0.0586842353239918,6555.5,,,,,113183.202468606
2023 (p),115.433554063159,0.0198823813558116,6792.7,,,,,115433.554063159
2024 (prel),113.123434604466,-0.0200125472826417,6939.3,,,,,113123.434604466
2025(Prev),117.376,0.03759225849535963,,,,,,117376.0
*(p) provisional; (prel) preliminar; (prev) previsión realizada en septiembre 2025,,,,,,,,
*PIB en millones de dólares,,,,,,,,
*VAR PIB es variación anual,,,,,,,,
*PIB Per Cápita Nominal en USD,,,,,,,,
