ano,codigo_provincia,provincia,codigo_canton,canton,sector,valor
2023,1.0,AZUAY,101.0,Cuenca,"Agricultura, ganadería, silvicultura y pesca",30999540.0
2023,1.0,AZUAY,101.0,Cuenca,Explotación de minas y canteras,34080880.0
2023,1.0,AZUAY,101.0,Cuenca,Manufactura,868591100.0
2023,1.0,AZUAY,101.0,Cuenca,Suministro de electricidad y de agua,74269810.0
2023,1.0,AZUAY,101.0,Cuenca,Construcción,307426400.0
2023,1.0,AZUAY,101.0,Cuenca,Comercio,850861890.0
2023,1.0,AZUAY,101.0,Cuenca,"Transporte, información y comunicaciones",221583060.0
2023,1.0,AZUAY,101.0,Cuenca,Alojamiento y servicios de comida,79801230.0
2023,1.0,AZUAY,101.0,Cuenca,Actividades financieras,390243760.0
2023,1.0,AZUAY,101.0,Cuenca,Actividades profesionales e inmobiliarias,524390130.0
2023,1.0,AZUAY,101.0,Cuenca,Administración pública,195896890.0
2023,1.0,AZUAY,101.0,Cuenca,Enseñanza,216153830.0
2023,1.0,AZUAY,101.0,Cuenca,Salud,279242550.0
2023,1.0,AZUAY,101.0,Cuenca,Otros servicios,90803730.0
2023,1.0,AZUAY,101.0,Cuenca,ECONOMÍA TOTAL,4164344800.0
2023,1.0,AZUAY,102.0,Girón,"Agricultura, ganadería, silvicultura y pesca",1239910.0
2023,1.0,AZUAY,102.0,Girón,Explotación de minas y canteras,192080.0
2023,1.0,AZUAY,102.0,Girón,Manufactura,227050.0
2023,1.0,AZUAY,102.0,Girón,Suministro de electricidad y de agua,625530.0
2023,1.0,AZUAY,102.0,Girón,Construcción,1693830.0
2023,1.0,AZUAY,102.0,Girón,Comercio,2717300.0
2023,1.0,AZUAY,102.0,Girón,"Transporte, información y comunicaciones",989240.0
2023,1.0,AZUAY,102.0,Girón,Alojamiento y servicios de comida,186330.0
2023,1.0,AZUAY,102.0,Girón,Actividades financieras,3723350.0
2023,1.0,AZUAY,102.0,Girón,Actividades profesionales e inmobiliarias,808660.0
2023,1.0,AZUAY,102.0,Girón,Administración pública,5233230.0
2023,1.0,AZUAY,102.0,Girón,Enseñanza,2152960.0
2023,1.0,AZUAY,102.0,Girón,Salud,519039.99999999994
2023,1.0,AZUAY,102.0,Girón,Otros servicios,224040.0
2023,1.0,AZUAY,102.0,Girón,ECONOMÍA TOTAL,20532550.0
