provincia,canton,anio,total_estudiantes,bachilleres_3ero
AZUAY,CAMILO PONCE ENRIQUEZ,2022,8996,524
AZUAY,CHORDELEG,2022,3310,187
AZUAY,CUENCA,2022,145967,9499
AZUAY,EL PAN,2022,491,24
AZUAY,GIRON,2022,3035,177
AZUAY,GUACHAPALA,2022,560,33
AZUAY,GUALACEO,2022,11229,570
AZUAY,NABON,2022,3321,205
AZUAY,OÑA,2022,928,71
AZUAY,PAUTE,2022,6691,447
AZUAY,PUCARA,2022,2271,104
AZUAY,SAN FERNANDO,2022,799,53
AZUAY,SANTA ISABEL,2022,4911,275
AZUAY,SEVILLA DE ORO,2022,1128,86
AZUAY,SIGSIG,2022,6381,355
BOLIVAR,CALUMA,2022,4895,379
BOLIVAR,CHILLANES,2022,4685,313
BOLIVAR,CHIMBO,2022,2915,192
BOLIVAR,ECHEANDIA,2022,4570,353
BOLIVAR,GUARANDA,2022,25408,1821
BOLIVAR,LAS NAVES,2022,1759,128
BOLIVAR,SAN MIGUEL,2022,6148,544
CARCHI,BOLIVAR,2022,3399,195
CARCHI,ESPEJO,2022,2935,188
CARCHI,MIRA,2022,3200,247
CARCHI,MONTUFAR,2022,7016,482
CARCHI,SAN PEDRO DE HUACA,2022,1920,130
CARCHI,TULCAN,2022,21605,1338
CAÑAR,AZOGUES,2022,20593,1280
CAÑAR,BIBLIAN,2022,3463,154
CAÑAR,CAÑAR,2022,13333,729
CAÑAR,DELEG,2022,1270,73
CAÑAR,EL TAMBO,2022,2611,114
CAÑAR,LA TRONCAL,2022,21219,1074
CAÑAR,SUSCAL,2022,1188,40
CHIMBORAZO,ALAUSI,2022,9880,555
CHIMBORAZO,CHAMBO,2022,2055,96
CHIMBORAZO,CHUNCHI,2022,2972,139
CHIMBORAZO,COLTA,2022,5759,477
CHIMBORAZO,CUMANDA,2022,4624,270
CHIMBORAZO,GUAMOTE,2022,10273,610
CHIMBORAZO,GUANO,2022,5433,296
CHIMBORAZO,PALLATANGA,2022,3105,194
CHIMBORAZO,PENIPE,2022,1201,65
CHIMBORAZO,RIOBAMBA,2022,72297,5722
COTOPAXI,LA MANA,2022,15649,1227
COTOPAXI,LATACUNGA,2022,55899,4086
COTOPAXI,PANGUA,2022,5267,428
COTOPAXI,PUJILI,2022,16747,1289
COTOPAXI,SALCEDO,2022,15313,1020
COTOPAXI,SAQUISILI,2022,6237,378
COTOPAXI,SIGCHOS,2022,4483,269
EL ORO,ARENILLAS,2022,7975,539
EL ORO,ATAHUALPA,2022,1173,53
EL ORO,BALSAS,2022,2401,155
EL ORO,CHILLA,2022,426,22
EL ORO,EL GUABO,2022,14985,776
EL ORO,HUAQUILLAS,2022,15312,970
EL ORO,LAS LAJAS,2022,1204,82
EL ORO,MACHALA,2022,72461,4539
EL ORO,MARCABELI,2022,1516,98
EL ORO,PASAJE,2022,22132,1575
EL ORO,PIÑAS,2022,6694,450
EL ORO,PORTOVELO,2022,3023,172
EL ORO,SANTA ROSA,2022,19964,1151
EL ORO,ZARUMA,2022,5785,399
ESMERALDAS,ATACAMES,2022,16709,811
ESMERALDAS,ELOY ALFARO,2022,16025,831
ESMERALDAS,ESMERALDAS,2022,65297,3774
ESMERALDAS,MUISNE,2022,10476,372
ESMERALDAS,QUININDE,2022,35739,1893
ESMERALDAS,RIOVERDE,2022,10130,396
ESMERALDAS,SAN LORENZO,2022,17850,838
GALAPAGOS,ISABELA,2022,746,38
GALAPAGOS,SAN CRISTOBAL,2022,2001,107
GALAPAGOS,SANTA CRUZ,2022,4350,299
GUAYAS,ALFREDO BAQUERIZO MORENO,2022,5260,217
GUAYAS,BALAO,2022,6117,246
GUAYAS,BALZAR,2022,16098,924
GUAYAS,COLIMES,2022,6022,256
GUAYAS,CORONEL MARCELINO MARIDUEÑA,2022,4041,257
GUAYAS,DAULE,2022,42821,2563
GUAYAS,DURAN,2022,68617,3456
GUAYAS,EL EMPALME,2022,24331,1294
GUAYAS,EL TRIUNFO,2022,14570,729
GUAYAS,GENERAL ANTONIO ELIZALDE,2022,4640,414
GUAYAS,GUAYAQUIL,2022,688605,45659
GUAYAS,ISIDRO AYORA,2022,4038,232
GUAYAS,LOMAS DE SARGENTILLO,2022,5786,282
GUAYAS,MILAGRO,2022,52338,3362
GUAYAS,NARANJAL,2022,22571,1160
GUAYAS,NARANJITO,2022,11229,624
GUAYAS,NOBOL,2022,6715,332
GUAYAS,PALESTINA,2022,4321,241
GUAYAS,PEDRO CARBO,2022,13943,755
GUAYAS,PLAYAS,2022,16812,982
GUAYAS,SALITRE,2022,15107,875
GUAYAS,SAMBORONDON,2022,23841,1290
GUAYAS,SAN JACINTO DE YAGUACHI,2022,19116,1134
GUAYAS,SANTA LUCIA,2022,9788,578
GUAYAS,SIMON BOLIVAR,2022,7662,357
IMBABURA,ANTONIO ANTE,2022,11572,785
IMBABURA,COTACACHI,2022,13809,936
IMBABURA,IBARRA,2022,56596,4358
IMBABURA,OTAVALO,2022,31923,2378
IMBABURA,PIMAMPIRO,2022,2870,196
IMBABURA,SAN MIGUEL DE URCUQUI,2022,3916,218
LOJA,CALVAS,2022,6602,464
LOJA,CATAMAYO,2022,8115,575
LOJA,CELICA,2022,3592,222
LOJA,CHAGUARPAMBA,2022,1445,96
LOJA,ESPINDOLA,2022,3358,277
LOJA,GONZANAMA,2022,2546,212
LOJA,LOJA,2022,61243,3995
LOJA,MACARA,2022,4656,295
LOJA,OLMEDO,2022,895,84
LOJA,PALTAS,2022,5350,410
LOJA,PINDAL,2022,2631,188
LOJA,PUYANGO,2022,3665,271
LOJA,QUILANGA,2022,748,59
LOJA,SARAGURO,2022,7560,501
LOJA,SOZORANGA,2022,1171,85
LOJA,ZAPOTILLO,2022,3464,203
LOS RIOS,BABA,2022,10048,451
LOS RIOS,BABAHOYO,2022,47104,2880
LOS RIOS,BUENA FE,2022,21718,1236
LOS RIOS,MOCACHE,2022,10068,383
LOS RIOS,MONTALVO,2022,6413,438
LOS RIOS,PALENQUE,2022,5946,258
LOS RIOS,PUEBLOVIEJO,2022,10132,460
LOS RIOS,QUEVEDO,2022,56814,3623
LOS RIOS,QUINSALOMA,2022,4755,300
LOS RIOS,URDANETA,2022,8328,479
LOS RIOS,VALENCIA,2022,12864,618
LOS RIOS,VENTANAS,2022,19753,1318
LOS RIOS,VINCES,2022,19750,1212
MANABI,24 DE MAYO,2022,7208,472
MANABI,BOLIVAR,2022,11738,716
MANABI,CHONE,2022,32396,2220
MANABI,EL CARMEN,2022,32078,2055
MANABI,FLAVIO ALFARO,2022,7380,356
MANABI,JAMA,2022,4838,296
MANABI,JARAMIJO,2022,7116,424
MANABI,JIPIJAPA,2022,17956,1064
MANABI,JUNIN,2022,5237,291
MANABI,MANTA,2022,76606,5207
MANABI,MONTECRISTI,2022,20786,1024
MANABI,OLMEDO,2022,2586,140
MANABI,PAJAN,2022,10848,601
MANABI,PEDERNALES,2022,21274,1086
MANABI,PICHINCHA,2022,8673,494
MANABI,PORTOVIEJO,2022,78799,5377
MANABI,PUERTO LOPEZ,2022,6837,309
MANABI,ROCAFUERTE,2022,10902,716
MANABI,SAN VICENTE,2022,5614,243
MANABI,SANTA ANA,2022,12117,721
MANABI,SUCRE,2022,15653,942
MANABI,TOSAGUA,2022,9917,593
MORONA SANTIAGO,GUALAQUIZA,2022,6641,285
MORONA SANTIAGO,HUAMBOYA,2022,3898,144
MORONA SANTIAGO,LIMON INDANZA,2022,3271,157
MORONA SANTIAGO,LOGROÑO,2022,2589,85
MORONA SANTIAGO,MORONA,2022,17840,912
MORONA SANTIAGO,PABLO SEXTO,2022,843,57
MORONA SANTIAGO,PALORA,2022,3484,120
MORONA SANTIAGO,SAN JUAN BOSCO,2022,1454,57
MORONA SANTIAGO,SANTIAGO,2022,3248,190
MORONA SANTIAGO,SUCUA,2022,7919,393
MORONA SANTIAGO,TAISHA,2022,11452,271
MORONA SANTIAGO,TIWINTZA,2022,3751,60
NAPO,ARCHIDONA,2022,9978,577
NAPO,CARLOS JULIO AROSEMENA TOLA,2022,1085,48
NAPO,EL CHACO,2022,2269,130
NAPO,QUIJOS,2022,1808,150
NAPO,TENA,2022,26121,1521
ORELLANA,AGUARICO,2022,2309,97
ORELLANA,LA JOYA DE LOS SACHAS,2022,15874,853
ORELLANA,LORETO,2022,9629,445
ORELLANA,ORELLANA,2022,30827,1876
PASTAZA,ARAJUNO,2022,3776,141
PASTAZA,MERA,2022,3409,137
PASTAZA,PASTAZA,2022,27373,1640
PASTAZA,SANTA CLARA,2022,1241,123
PICHINCHA,CAYAMBE,2022,29646,2128
PICHINCHA,MEJIA,2022,23986,1501
