Provincia,Total_Estudiantes
GUAYAS,16657655.466
PICHINCHA,11457947.557
MANABI,6454807.252
LOS RIOS,3673471.086
AZUAY,3277499.294
ESMERALDAS,2888163.241
EL ORO,2822787.439
TUNGURAHUA,2173518.383
SANTO DOMINGO DE LOS TSACHILAS,2047926.926
LOJA,2029493.83
CHIMBORAZO,2003299.002
IMBABURA,1939420.939
COTOPAXI,1933700.575
SANTA ELENA,1555404.673
CAÑAR,1058435.224
SUCUMBIOS,1008932.128
MORONA SANTIAGO,1008140.353
BOLIVAR,888607.155
ORELLANA,876673.598
CARCHI,684791.524
NAPO,683135.8
PASTAZA,569921.083
ZAMORA CHINCHIPE,552148.611
GALAPAGOS,117015.172
Zona No Delimitada,82394.0
ZONA EN ESTUDIO,358.0
